TF1,DF1,TF2,DF2
1024,708,0,0
354,121,3,3
216,83,7,5
39,24,1,1
129,77,13,10
129,78,2,2
611,459,5,2
277,127,20,11
112,103,2,1
931,646,6,5
5147,1938,32,29
423,309,0,0
791,448,0,0
186,163,2,1
207,153,0,0
371,296,1,1
567,416,0,0
3242,1604,8,7
599,300,125,90
223,109,1,1
873,546,0,0
199,167,1,1
260,218,2,1
36,3,4,1
106,39,13,4
27,24,10,8
256,172,0,0
591,460,1,1
56,40,0,0
36,34,0,0
360,252,1,1
2377,1285,10,6
194,134,6,5
688,370,8,6
241,135,1,1
968,480,8,7
130,54,52,33
260,136,24,19
742,196,217,104
961,615,0,0
306,244,3,2
309,156,6,4
901,488,3,2
144,117,0,0
63,53,0,0
155,126,0,0
114,92,4,4
1038,557,5,5
494,236,9,6
103,87,0,0
128,105,2,2
49,41,0,0
50,39,0,0
347,150,53,25
62,43,0,0
176,115,1,1
441,238,8,6
48,31,9,9
288,158,32,20
544,394,5,5
140,80,2,2
686,305,40,13
134,79,7,6
487,311,1,1
391,275,3,2
109,89,0,0
97,65,1,1
70,56,0,0
373,303,5,5
372,199,2,2
186,79,32,16
270,166,67,54
198,134,0,0
1196,799,10,9
4610,2167,16,12
178,155,2,2
78,47,3,3
568,394,130,103
132,95,1,1
316,233,1,1
35,30,3,3
153,127,3,3
277,162,48,27
797,422,2,2
665,425,6,4
1330,886,0,0
45,40,0,0
106,75,1,1
198,120,1,1
299,184,3,3
657,450,20,14
749,493,3,2
130,82,4,3
201,143,1,1
80,53,0,0
286,218,2,2
73,39,1,1
102,82,1,1
47,32,6,1
79,31,30,11
117,55,1,1
369,291,0,0
275,231,0,0
739,460,10,5
95,88,1,1
165,131,0,0
488,195,1040,702
56,41,0,0
206,123,6,6
380,252,211,158
343,81,2,2
223,193,0,0
1767,968,702,464
215,154,2,1
104,82,2,2
43,32,0,0
49,28,0,0
695,485,14,11
74,54,0,0
140,123,0,0
177,124,2,2
356,139,111,61
295,90,65,42
98,83,3,3
672,522,2,2
357,222,248,153
3573,843,167,108
35,34,0,0
358,177,3,3
135,112,1,1
219,122,84,53
479,185,20,16
94,52,40,31
431,124,24,15
313,176,20,17
1197,589,14,7
423,182,31,22
260,180,6,5
209,169,0,0
1307,507,219,109
204,121,8,5
106,69,22,4
655,452,5,5
183,123,12,9
77,54,0,0
85,70,0,0
58,47,1,1
77,55,0,0
46,40,0,0
221,163,0,0
392,249,1,1
3184,1132,137,102
511,372,0,0
262,178,0,0
34,31,0,0
680,461,36,26
621,473,0,0
164,81,55,29
32,21,0,0
166,105,0,0
1023,580,0,0
66,53,42,34
63,56,4,3
323,233,75,63
631,463,0,0
132,115,0,0
170,97,2,1
134,35,0,0
504,295,1,1
150,135,0,0
294,154,16,14
212,134,0,0
171,112,20,17
275,203,289,220
296,201,189,146
